product_id;unit_price;product_category;product_type;product_detail
1;18,00;Coffee beans;Organic Beans;Brazilian - Organic
2;18,00;Coffee beans;House blend Beans;Our Old Time Diner Blend
3;14,75;Coffee beans;Espresso Beans;Espresso Roast
4;20,45;Coffee beans;Espresso Beans;Primo Espresso Roast
5;15,00;Coffee beans;Gourmet Beans;Columbian Medium Roast
6;21,00;Coffee beans;Gourmet Beans;Ethiopia
7;19,75;Coffee beans;Premium Beans;Jamacian Coffee River
8;45,00;Coffee beans;Premium Beans;Civet Cat
9;28,00;Coffee beans;Organic Beans;Organic Decaf Blend
10;10,00;Coffee beans;Green beans;Guatemalan Sustainably Grown
11;8,95;Loose Tea;Herbal tea;Lemon Grass
12;8,95;Loose Tea;Herbal tea;Peppermint
13;8,95;Loose Tea;Black tea;English Breakfast
14;8,95;Loose Tea;Black tea;Earl Grey
15;9,25;Loose Tea;Green tea;Serenity Green Tea
16;8,95;Loose Tea;Chai tea;Traditional Blend Chai
17;9,50;Loose Tea;Chai tea;Morning Sunrise Chai
18;10,95;Loose Tea;Chai tea;Spicy Eye Opener Chai
19;6,40;Packaged Chocolate;Drinking Chocolate;Dark chocolate
20;7,60;Packaged Chocolate;Organic Chocolate;Sustainably Grown Organic
21;13,33;Packaged Chocolate;Drinking Chocolate;Chili Mayan
22;2,00;Coffee;Drip coffee;Our Old Time Diner Blend Sm
23;2,50;Coffee;Drip coffee;Our Old Time Diner Blend Rg
24;3,00;Coffee;Drip coffee;Our Old Time Diner Blend Lg
25;2,20;Coffee;Organic brewed coffee;Brazilian Sm
26;3,00;Coffee;Organic brewed coffee;Brazilian Rg
27;3,50;Coffee;Organic brewed coffee;Brazilian Lg
28;2,00;Coffee;Gourmet brewed coffee;Columbian Medium Roast Sm
29;2,50;Coffee;Gourmet brewed coffee;Columbian Medium Roast Rg
30;3,00;Coffee;Gourmet brewed coffee;Columbian Medium Roast Lg
31;2,20;Coffee;Gourmet brewed coffee;Ethiopia Sm
32;3,00;Coffee;Gourmet brewed coffee;Ethiopia Rg
33;3,50;Coffee;Gourmet brewed coffee;Ethiopia Lg
34;2,45;Coffee;Premium brewed coffee;Jamaican Coffee River Sm
35;3,10;Coffee;Premium brewed coffee;Jamaican Coffee River Rg
36;3,75;Coffee;Premium brewed coffee;Jamaican Coffee River Lg
37;3,00;Coffee;Barista Espresso;Espresso shot
38;3,75;Coffee;Barista Espresso;Latte
39;4,25;Coffee;Barista Espresso;Latte Rg
40;3,75;Coffee;Barista Espresso;Cappuccino
41;4,25;Coffee;Barista Espresso;Cappuccino Lg
42;2,50;Tea;Brewed herbal tea;Lemon Grass Rg
43;3,00;Tea;Brewed herbal tea;Lemon Grass Lg
44;2,50;Tea;Brewed herbal tea;Peppermint Rg
45;3,00;Tea;Brewed herbal tea;Peppermint Lg
46;2,50;Tea;Brewed Green tea;Serenity Green Tea Rg
47;3,00;Tea;Brewed Green tea;Serenity Green Tea Lg
48;2,50;Tea;Brewed Black tea;English Breakfast Rg
49;3,00;Tea;Brewed Black tea;English Breakfast Lg
50;2,50;Tea;Brewed Black tea;Earl Grey Rg
51;3,00;Tea;Brewed Black tea;Earl Grey Lg
52;2,50;Tea;Brewed Chai tea;Traditional Blend Chai Rg
53;3,00;Tea;Brewed Chai tea;Traditional Blend Chai Lg
54;2,50;Tea;Brewed Chai tea;Morning Sunrise Chai Rg
55;4,00;Tea;Brewed Chai tea;Morning Sunrise Chai Lg
56;2,55;Tea;Brewed Chai tea;Spicy Eye Opener Chai Rg
57;3,10;Tea;Brewed Chai tea;Spicy Eye Opener Chai Lg
58;3,50;Drinking Chocolate;Hot chocolate;Dark chocolate Rg
59;4,50;Drinking Chocolate;Hot chocolate;Dark chocolate Lg
60;3,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Rg
61;4,75;Drinking Chocolate;Hot chocolate;Sustainably Grown Organic Lg
63;0,80;Flavours;Regular syrup;Carmel syrup
64;0,80;Flavours;Regular syrup;Hazelnut syrup
65;0,80;Flavours;Sugar free syrup;Sugar Free Vanilla syrup
69;3,25;Bakery;Biscotti;Hazelnut Biscotti
70;3,25;Bakery;Scone;Cranberry Scone
71;3,75;Bakery;Pastry;Chocolate Croissant
72;3,25;Bakery;Scone;Ginger Scone
73;3,75;Bakery;Pastry;Almond Croissant
74;3,50;Bakery;Biscotti;Ginger Biscotti
75;3,50;Bakery;Pastry;Croissant
76;3,50;Bakery;Biscotti;Chocolate Chip Biscotti
77;3,00;Bakery;Scone;Oatmeal Scone
78;4,50;Bakery;Scone;Scottish Cream Scone 
79;3,75;Bakery;Scone;Jumbo Savory Scone
81;28,00;Branded;Clothing;I Need My Bean! T-shirt
82;12,00;Branded;Housewares;I Need My Bean! Diner mug
83;14,00;Branded;Housewares;I Need My Bean! Latte cup
84;0,80;Flavours;Regular syrup;Chocolate syrup
87;3,00;Coffee;Barista Espresso;Ouro Brasileiro shot
